City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
hermanus,-34.4187,19.2345,67.8,80,12,17.2
hobart,-42.8794,147.3294,49.5,74,100,9.22
san miguelito,9.0333,-79.5,85.21,75,40,11.5
cape town,-33.9258,18.4232,65.55,76,15,18.01
mataura,-46.1927,168.8643,50.65,96,100,7.45
ushuaia,-54.8,-68.3,47.86,76,75,25.32
iqaluit,63.7506,-68.5145,31.69,84,99,15.01
busselton,-33.65,115.3333,55.26,90,97,8.37
la peca,-5.6111,-78.435,73.24,84,100,3.36
port hardy,50.6996,-127.4199,45.07,80,83,9.89
kangaatsiaq,68.3065,-53.4641,36.3,88,100,7.52
dunedin,-45.8742,170.5036,54.88,64,100,8.95
atuona,-9.8,-139.0333,75.33,80,17,15.55
saskylakh,71.9167,114.0833,11.34,98,85,6.96
yorkton,51.2167,-102.4677,31.84,100,100,14.97
dodge city,37.7528,-100.0171,84.36,26,0,39.12
kodiak,57.79,-152.4072,40.51,60,0,9.22
tiksi,71.6872,128.8694,21.69,81,99,13.47
barrow,71.2906,-156.7887,21.22,86,100,24.16
kavieng,-2.5744,150.7967,80.1,70,21,2.15
martapura,-3.4167,114.85,78.89,100,100,1.14
punta arenas,-53.15,-70.9167,57.31,47,0,21.85
tuktoyaktuk,69.4541,-133.0374,11.93,87,55,8.68
bay roberts,47.5999,-53.2648,62.02,68,16,11.01
rikitea,-23.1203,-134.9692,72.14,81,90,13.47
bengkulu,-3.8004,102.2655,76.71,90,100,3.62
yurimaguas,-5.9,-76.0833,87.96,66,40,3.44
senador pompeu,-5.5881,-39.3717,92.62,38,91,4.32
sawtell,-30.3833,153.1,62.62,94,100,11.5
sao jose da coroa grande,-8.8978,-35.1478,81.64,70,96,11.41
coquimbo,-29.9533,-71.3436,58.73,82,100,8.05
esperance,-33.8667,121.9,56.34,68,76,19.35
leningradskiy,69.3833,178.4167,21.11,95,100,8.3
san patricio,28.017,-97.5169,84.27,54,100,20.18
bluff,-46.6,168.3333,48.4,89,100,14.88
butaritari,3.0707,172.7902,80.55,75,92,6.8
taksimo,56.3444,114.8794,23.18,85,99,0.43
huangchuan,32.1272,115.0394,61.54,38,24,8.95
ust-kalmanka,52.1207,83.305,36.61,69,100,17.13
tuatapere,-46.1333,167.6833,48.07,96,100,12.95
isangel,-19.55,169.2667,73.53,79,100,17.67
east london,-33.0153,27.9116,69.75,77,80,13.44
mahon,39.8885,4.2658,73.96,83,0,6.91
severo-kurilsk,50.6789,156.125,37.08,98,100,7.85
bredasdorp,-34.5322,20.0403,64.11,83,67,11.72
parasia,22.2,78.7667,62.19,69,0,5.1
sinnamary,5.3833,-52.95,87.58,65,88,13.51
karakol,42.4907,78.3936,41.54,70,73,7.99
albany,42.6001,-73.9662,58.46,60,100,3.0
vostok,46.4856,135.8833,25.2,96,20,1.25
santiago del estero,-27.7951,-64.2615,82.02,38,70,8.55
axim,4.8699,-2.2405,80.26,81,62,7.34
torbay,47.6666,-52.7314,61.57,71,2,8.99
sao filipe,14.8961,-24.4956,80.38,68,1,14.23
nikolskoye,59.7035,30.7861,43.11,86,100,7.11
carnarvon,-24.8667,113.6333,69.4,64,26,18.41
puerto ayora,-0.7393,-90.3518,67.55,88,86,8.99
mount gambier,-37.8333,140.7667,53.51,100,100,14.97
port macquarie,-31.4333,152.9167,62.89,95,100,13.89
hithadhoo,-0.6,73.0833,82.2,70,31,4.76
avarua,-21.2078,-159.775,77.05,94,75,8.05
petropavlovsk-kamchatskiy,53.0452,158.6483,33.64,52,100,3.47
machachi,-0.5,-78.5667,62.76,74,100,4.03
tomatlan,19.9333,-105.25,80.47,80,100,2.95
thompson,55.7435,-97.8558,33.01,72,80,8.21
mahebourg,-20.4081,57.7,73.26,82,43,10.45
fraga,41.5229,0.3489,70.27,60,100,6.6
porto santo,33.072,-16.3415,70.18,56,20,5.75
novyy urengoy,66.0833,76.6333,28.99,90,99,15.84
dahanu,19.9667,72.7333,77.45,51,3,5.39
ketchikan,55.3422,-131.6461,43.27,81,100,33.38
elbistan,38.2059,37.1983,55.11,33,1,1.01
port elizabeth,-33.918,25.5701,68.31,89,86,1.99
montrose,38.4166,-108.2673,24.76,91,97,9.84
beringovskiy,63.05,179.3167,22.59,80,88,10.8
turayf,31.6725,38.6637,74.89,35,65,11.36
taoudenni,22.6783,-3.9836,95.2,9,26,8.77
port lincoln,-34.7333,135.8667,56.14,83,99,17.63
leninsk,48.7119,45.1994,45.1,52,30,9.08
kargasok,59.0556,80.8572,30.33,86,95,14.14
pimentel,-6.8367,-79.9342,70.09,60,0,14.97
hilo,19.7297,-155.09,72.12,87,100,9.22
saint-pierre,-21.3393,55.4781,73.08,78,20,2.3
mar del plata,-38.0023,-57.5575,60.12,78,20,20.0
ribeira grande,38.5167,-28.7,68.4,64,40,13.8
karratha,-20.7377,116.8463,73.06,57,0,17.56
oktyabrskiy,54.4815,53.471,36.64,67,94,8.28
souillac,-20.5167,57.5167,72.93,82,25,9.93
shizuishan,39.2333,106.7694,51.39,29,0,4.54
lahij,13.1667,44.5833,77.97,70,10,7.02
west bay,19.3667,-81.4167,87.15,70,20,12.66
bambous virieux,-20.3428,57.7575,73.22,82,46,10.16
upernavik,72.7868,-56.1549,29.17,79,100,4.52
cidreira,-30.1811,-50.2056,70.36,67,45,5.59
kruisfontein,-34.0033,24.7314,68.88,90,100,4.23
havre-saint-pierre,50.2334,-63.5986,50.7,77,10,10.98
abu kamal,34.4506,40.9171,76.42,39,18,8.37
nome,64.5011,-165.4064,39.25,87,100,13.8
biak,-0.9131,122.8766,77.18,78,99,2.1
ballina,-28.8667,153.5667,66.94,99,100,10.54
new norfolk,-42.7826,147.0587,46.04,78,98,1.99
fortuna,40.5982,-124.1573,51.4,89,0,5.75
codrington,-38.2667,141.9667,53.78,92,100,16.22
arraial do cabo,-22.9661,-42.0278,73.29,76,53,12.57
vaini,-21.2,-175.2,71.76,78,20,10.36
yellowknife,62.456,-114.3525,24.57,79,13,8.01
mansa,29.9833,75.3833,72.0,31,0,4.12
lebu,-37.6167,-73.65,54.77,60,2,9.19
boa vista,2.8197,-60.6733,90.48,55,100,7.7
baykalovo,57.3981,63.7684,32.36,64,51,15.19
sisophon,13.5859,102.9737,79.38,77,80,5.03
lavrentiya,65.5833,-171.0,31.32,85,94,0.54
bathsheba,13.2167,-59.5167,88.41,70,40,12.66
georgetown,5.4112,100.3354,82.15,75,20,1.14
faanui,-16.4833,-151.75,78.71,74,93,11.41
grand gaube,-20.0064,57.6608,73.38,77,29,5.01
vila velha,-20.3297,-40.2925,73.94,91,100,7.52
birin,26.8865,88.0718,58.59,54,86,4.99
namibe,-15.1961,12.1522,69.28,82,40,9.33
katsuura,35.1333,140.3,66.18,77,78,18.19
port alfred,-33.5906,26.891,66.18,87,100,3.0
salinopolis,-0.6136,-47.3561,85.71,68,80,14.88
dharchula,29.85,80.5333,57.07,57,0,6.71
kapaa,22.0752,-159.319,73.15,91,10,9.86
oriximina,-1.7656,-55.8661,94.5,44,61,7.87
kiruna,67.8557,20.2251,29.32,64,0,6.91
barda,40.3744,47.1267,54.68,77,4,7.0
srednekolymsk,67.45,153.6833,-1.62,94,97,7.7
guerrero negro,27.9769,-114.0611,72.52,54,97,10.85
naron,43.5167,-8.1528,63.79,86,76,17.52
qaanaaq,77.484,-69.3632,22.6,96,100,1.14
conceicao da barra,-18.5933,-39.7322,82.06,66,88,9.78
sorland,67.667,12.6934,39.06,51,100,14.97
tasiilaq,65.6145,-37.6368,32.16,95,100,4.97
amga,60.8953,131.9608,9.82,99,95,2.46
lodja,-3.4833,23.4333,76.66,73,80,2.3
krasnovishersk,60.4078,57.082,33.51,92,100,13.96
poum,-20.2333,164.0167,74.23,91,100,28.92
nemuro,43.3236,145.575,47.66,83,100,14.74
saint anthony,45.0205,-93.218,70.43,60,0,18.41
vardo,70.3705,31.1107,39.18,70,75,24.16
nezhinka,51.7676,55.3694,28.56,86,0,4.47
rocha,-34.4833,-54.3333,63.43,72,96,12.08
bhuj,23.2667,69.6667,81.97,31,0,2.08
